Time,Operator,Production Order,Material #,Quantity,Serial #,Leak Rate
2021-06-30 14:44:11.821978,Colin Moore,6030159,5198832,20,,2.6110149005477284e-08
2021-06-30 14:44:11.911480,Colin Moore,6030159,5198832,20,,2.6066088035674578e-08
2021-06-30 14:44:12.000930,Colin Moore,6030159,5198832,20,,2.6055064899795537e-08
2021-06-30 14:44:12.090384,Colin Moore,6030159,5198832,20,,2.6077464368854557e-08
2021-06-30 14:44:12.179891,Colin Moore,6030159,5198832,20,,2.6122713093652548e-08
2021-06-30 14:44:12.269386,Colin Moore,6030159,5198832,20,,2.6033845761408614e-08
2021-06-30 14:44:12.359745,Colin Moore,6030159,5198832,20,,2.599904379222792e-08
2021-06-30 14:44:12.449601,Colin Moore,6030159,5198832,20,,2.6083443377818598e-08
2021-06-30 14:44:12.539108,Colin Moore,6030159,5198832,20,,2.6060805079178964e-08
2021-06-30 14:44:12.628606,Colin Moore,6030159,5198832,20,,2.615492264021204e-08
2021-06-30 14:44:12.718067,Colin Moore,6030159,5198832,20,,2.6202503828749625e-08
2021-06-30 14:44:12.807598,Colin Moore,6030159,5198832,20,,2.601654901406322e-08
2021-06-30 14:44:12.897095,Colin Moore,6030159,5198832,20,,2.607367127119234e-08
2021-06-30 14:44:12.986907,Colin Moore,6030159,5198832,20,,2.6031897431209142e-08
2021-06-30 14:44:13.077689,Colin Moore,6030159,5198832,20,,2.606804091642055e-08
2021-06-30 14:44:13.167403,Colin Moore,6030159,5198832,20,,2.615076250145949e-08
2021-06-30 14:44:13.257092,Colin Moore,6030159,5198832,20,,2.6107038489268702e-08
2021-06-30 14:44:13.347110,Colin Moore,6030159,5198832,20,,2.6195547726707827e-08
2021-06-30 14:44:13.437059,Colin Moore,6030159,5198832,20,,2.6147758708761925e-08
2021-06-30 14:44:13.526937,Colin Moore,6030159,5198832,20,,2.621886415222343e-08
2021-06-30 14:44:13.616803,Colin Moore,6030159,5198832,20,,2.639305064836593e-08
2021-06-30 14:44:13.706703,Colin Moore,6030159,5198832,20,,2.652559508046404e-08
2021-06-30 14:44:13.796553,Colin Moore,6030159,5198832,20,,2.6533668334853027e-08
2021-06-30 14:44:13.887356,Colin Moore,6030159,5198832,20,,2.6392227702404376e-08
2021-06-30 14:44:13.977202,Colin Moore,6030159,5198832,20,,2.6384118464695574e-08
